Anc	Der	PanelFreqA	PanelFreqB	Num
15	5	0.5	0.65	1
15	5	0.55	0.4	1
15	5	0.55	0.45	2
15	5	0.55	0.5	1
15	5	0.55	0.7	1
15	5	0.6	0.35	1
15	5	0.6	0.45	1
15	5	0.6	0.5	1
15	5	0.6	0.55	1
15	5	0.6	0.7	1
15	5	0.6	0.95	1
15	5	0.65	0.15	2
15	5	0.65	0.35	1
15	5	0.65	0.4	1
15	5	0.65	0.65	1
15	5	0.7	0.0	1
15	5	0.7	0.45	1
15	5	0.7	0.55	1
15	5	0.75	0.0	1
15	5	0.75	0.2	1
15	5	0.75	0.25	1
15	5	0.75	0.35	1
15	5	0.75	0.4	1
15	5	0.75	0.9	2
15	5	0.8	0.05	1
15	5	0.8	0.2	1
15	5	0.8	0.45	1
15	5	0.8	0.6	1
15	5	0.8	0.85	1
15	5	0.8	0.95	1
15	5	0.8	1.0	2
15	5	0.85	0.0	1
15	5	0.85	0.35	1
15	5	0.85	0.5	1
15	5	0.85	0.7	2
15	5	0.85	0.85	1
15	5	0.85	1.0	1
15	5	0.9	0.3	1
15	5	0.9	0.4	1
15	5	0.9	0.7	2
15	5	0.9	0.85	1
15	5	0.9	1.0	1
15	5	0.95	0.45	1
15	5	0.95	0.85	1
15	5	0.95	0.9	1
15	5	0.95	0.95	1
15	5	1.0	0.8	1
15	5	1.0	0.85	1
15	5	1.0	0.9	1
15	6	0.0	0.1	1
15	6	0.0	0.2	1
15	6	0.0	0.75	1
15	6	0.05	0.0	10
15	6	0.05	0.05	1
15	6	0.05	0.15	2
15	6	0.1	0.0	6
15	6	0.1	0.1	3
15	6	0.1	0.5	1
15	6	0.15	0.0	5
15	6	0.15	0.05	1
15	6	0.15	0.25	1
15	6	0.15	0.3	1
15	6	0.15	0.85	1
15	6	0.2	0.0	2
15	6	0.2	0.3	1
15	6	0.2	0.4	1
15	6	0.25	0.15	1
15	6	0.25	0.25	2
15	6	0.25	0.5	1
15	6	0.3	0.0	1
15	6	0.3	0.3	1
15	6	0.3	0.5	1
15	6	0.3	0.65	1
15	6	0.3	0.75	1
15	6	0.35	0.0	2
15	6	0.35	0.05	1
15	6	0.35	0.5	1
15	6	0.4	0.25	1
15	6	0.4	0.6	1
15	6	0.45	0.0	1
15	6	0.45	0.2	3
15	6	0.45	0.35	1
15	6	0.45	0.75	1
15	6	0.5	0.3	1
15	6	0.5	0.7	1
15	6	0.5	0.85	1
15	6	0.55	0.15	1
15	6	0.55	0.3	1
15	6	0.55	0.45	1
15	6	0.6	0.1	1
15	6	0.6	0.15	1
15	6	0.6	0.25	1
15	6	0.6	0.35	2
15	6	0.6	0.45	1
15	6	0.65	0.1	1
15	6	0.65	0.85	1
15	6	0.65	0.9	1
15	6	0.65	0.95	1
15	6	0.7	0.05	1
15	6	0.7	0.25	1
15	6	0.7	0.3	2
15	6	0.7	0.6	1
15	6	0.7	0.7	1
15	6	0.75	0.6	2
15	6	0.75	0.7	1
15	6	0.75	0.9	2
15	6	0.75	1.0	1
15	6	0.8	0.6	1
15	6	0.8	0.7	1
15	6	0.8	0.75	1
15	6	0.8	1.0	2
15	6	0.85	0.45	1
15	6	0.85	0.5	1
15	6	0.85	0.6	1
15	6	0.85	0.85	2
15	6	0.9	0.05	1
15	6	0.9	0.4	1
15	6	0.9	0.7	2
15	6	0.9	0.75	1
15	6	0.9	0.8	1
15	6	0.9	0.85	2
15	6	0.95	0.7	1
15	6	0.95	0.75	1
15	6	0.95	0.8	1
15	6	0.95	0.9	1
15	6	0.95	1.0	1
15	6	1.0	0.45	1
15	6	1.0	0.55	1
15	6	1.0	0.75	1
15	6	1.0	0.8	1
15	6	1.0	0.85	2
15	6	1.0	0.9	2
15	6	1.0	0.95	1
15	7	0.0	0.05	1
15	7	0.0	0.1	2
15	7	0.0	0.2	2
15	7	0.0	0.25	1
15	7	0.0	0.3	2
15	7	0.0	0.35	1
15	7	0.0	0.45	1
15	7	0.05	0.0	15
15	7	0.05	0.05	1
15	7	0.05	0.1	1
15	7	0.05	0.15	2
15	7	0.05	0.2	1
15	7	0.05	0.4	1
15	7	0.05	0.45	1
15	7	0.1	0.0	6
15	7	0.1	0.25	1
15	7	0.1	0.65	1
15	7	0.1	1.0	1
15	7	0.15	0.05	1
15	7	0.15	0.2	1
15	7	0.15	0.25	2
15	7	0.15	0.5	1
15	7	0.2	0.0	2
15	7	0.2	0.05	1
15	7	0.2	0.1	1
15	7	0.2	0.15	1
15	7	0.2	0.25	1
15	7	0.2	0.3	1
15	7	0.2	0.5	2
15	7	0.2	0.6	1
15	7	0.2	0.7	1
15	7	0.2	0.85	1
15	7	0.2	0.95	1
15	7	0.25	0.0	2
15	7	0.25	0.1	1
15	7	0.25	0.15	1
15	7	0.25	0.2	1
15	7	0.25	0.25	1
15	7	0.25	0.3	1
15	7	0.25	0.35	1
15	7	0.3	0.0	1
15	7	0.3	0.55	1
15	7	0.3	0.65	1
15	7	0.35	0.2	2
15	7	0.35	0.3	1
15	7	0.35	0.5	1
15	7	0.35	0.75	1
15	7	0.35	0.85	1
15	7	0.4	0.0	1
15	7	0.4	0.1	1
15	7	0.4	0.15	1
15	7	0.4	0.55	1
15	7	0.4	0.7	1
15	7	0.45	0.0	1
15	7	0.45	0.3	1
15	7	0.45	0.45	1
15	7	0.45	0.7	1
15	7	0.45	0.8	1
15	7	0.5	0.55	1
15	7	0.6	0.9	1
15	7	0.65	0.05	1
15	7	0.65	0.4	1
15	7	0.65	0.65	1
15	7	0.65	0.95	2
15	7	0.7	0.1	1
15	7	0.7	0.5	1
15	7	0.7	0.6	1
15	7	0.7	0.8	1
15	7	0.7	0.9	1
15	7	0.75	0.5	1
15	7	0.75	0.65	1
15	7	0.75	1.0	1
15	7	0.8	0.2	1
15	7	0.8	0.4	2
15	7	0.8	0.5	1
15	7	0.8	0.7	1
15	7	0.8	0.75	1
15	7	0.8	0.8	2
15	7	0.8	0.9	2
15	7	0.8	1.0	1
15	7	0.85	0.3	2
15	7	0.85	0.6	1
15	7	0.85	0.7	1
15	7	0.85	0.8	2
15	7	0.85	0.9	1
15	7	0.85	1.0	1
15	7	0.9	0.45	1
15	7	0.9	0.65	1
15	7	0.9	0.7	1
15	7	0.9	0.95	1
15	7	0.9	1.0	4
15	7	0.95	0.15	1
15	7	0.95	0.55	1
15	7	0.95	0.7	2
15	7	0.95	0.8	1
15	7	0.95	0.9	1
15	7	0.95	1.0	2
15	7	1.0	0.25	1
15	7	1.0	0.65	1
15	7	1.0	0.75	1
15	7	1.0	0.95	1
15	8	0.0	0.05	3
15	8	0.0	0.1	4
15	8	0.0	0.2	2
15	8	0.0	0.25	2
15	8	0.0	0.65	1
15	8	0.05	0.0	21
15	8	0.05	0.05	1
15	8	0.05	0.1	2
15	8	0.05	0.15	1
15	8	0.05	0.25	2
15	8	0.05	0.3	1
15	8	0.1	0.0	19
15	8	0.1	0.1	1
15	8	0.1	0.15	1
15	8	0.1	0.2	1
15	8	0.1	0.25	1
15	8	0.1	0.3	1
15	8	0.1	0.35	2
15	8	0.1	0.4	1
15	8	0.1	0.85	1
15	8	0.15	0.0	2
15	8	0.15	0.05	2
15	8	0.15	0.15	2
15	8	0.15	0.25	3
15	8	0.15	0.45	1
15	8	0.15	0.5	1
15	8	0.15	0.55	1
15	8	0.2	0.0	6
15	8	0.2	0.1	1
15	8	0.2	0.15	1
15	8	0.2	0.4	1
15	8	0.2	0.65	2
15	8	0.25	0.0	1
15	8	0.25	0.05	1
15	8	0.25	0.1	2
15	8	0.25	0.15	1
15	8	0.25	0.35	1
15	8	0.25	0.4	3
15	8	0.25	0.5	1
15	8	0.25	0.55	1
15	8	0.3	0.0	2
15	8	0.3	0.05	1
15	8	0.3	0.1	1
15	8	0.3	0.2	1
15	8	0.3	0.25	2
15	8	0.3	0.3	1
15	8	0.3	0.4	1
15	8	0.3	0.5	1
15	8	0.3	0.7	1
15	8	0.35	0.05	1
15	8	0.35	0.1	1
15	8	0.35	0.15	1
15	8	0.35	0.4	1
15	8	0.35	0.55	1
15	8	0.4	0.1	1
15	8	0.4	0.3	1
15	8	0.4	0.5	1
15	8	0.4	1.0	1
15	8	0.45	0.5	1
15	8	0.45	0.6	1
15	8	0.45	0.9	1
15	8	0.5	0.25	1
15	8	0.5	0.45	1
15	8	0.5	0.5	1
15	8	0.5	0.65	1
15	8	0.5	0.7	1
15	8	0.5	0.8	1
15	8	0.55	0.25	1
15	8	0.55	0.7	1
15	8	0.55	0.85	1
15	8	0.55	1.0	1
15	8	0.6	0.15	1
15	8	0.6	0.25	1
15	8	0.6	0.3	1
15	8	0.65	0.65	1
15	8	0.65	0.7	1
15	8	0.65	0.95	1
15	8	0.7	0.1	1
15	8	0.7	0.65	2
15	8	0.75	0.4	1
15	8	0.75	0.65	1
15	8	0.75	0.9	1
15	8	0.75	1.0	1
15	8	0.8	0.5	1
15	8	0.8	0.6	1
15	8	0.8	0.7	1
15	8	0.8	0.8	1
15	8	0.8	1.0	1
15	8	0.85	0.65	1
15	8	0.85	0.85	2
15	8	0.85	0.9	1
15	8	0.9	0.05	2
15	8	0.9	0.35	1
15	8	0.9	0.6	1
15	8	0.9	0.65	1
15	8	0.9	0.85	2
15	8	0.9	0.95	3
15	8	0.9	1.0	1
15	8	0.95	0.4	1
15	8	0.95	0.6	1
15	8	0.95	0.75	1
15	8	0.95	0.8	1
15	8	0.95	0.85	1
15	8	0.95	1.0	2
15	8	1.0	0.55	1
15	8	1.0	0.75	1
15	8	1.0	0.9	2
15	9	0.0	0.05	3
15	9	0.0	0.1	4
15	9	0.0	0.15	3
15	9	0.0	0.2	1
15	9	0.0	0.25	2
15	9	0.0	0.3	2
15	9	0.0	0.35	1
15	9	0.0	0.4	1
15	9	0.0	0.45	1
15	9	0.0	0.5	1
15	9	0.0	0.55	1
15	9	0.0	0.6	1
15	9	0.0	0.75	1
15	9	0.05	0.0	33
15	9	0.05	0.05	1
15	9	0.05	0.1	3
15	9	0.05	0.15	1
15	9	0.05	0.2	2
15	9	0.05	0.3	2
15	9	0.05	0.4	1
15	9	0.05	0.55	1
15	9	0.05	0.6	1
15	9	0.05	0.75	1
15	9	0.1	0.0	11
15	9	0.1	0.05	3
15	9	0.1	0.1	1
15	9	0.1	0.15	1
15	9	0.1	0.2	3
15	9	0.1	0.25	2
15	9	0.1	0.45	1
15	9	0.1	0.6	1
15	9	0.15	0.0	11
15	9	0.15	0.15	1
15	9	0.15	0.2	1
15	9	0.2	0.0	5
15	9	0.2	0.05	1
15	9	0.2	0.1	1
15	9	0.2	0.15	2
15	9	0.2	0.2	3
15	9	0.2	0.25	1
15	9	0.2	0.3	1
15	9	0.2	0.35	3
15	9	0.2	0.4	2
15	9	0.25	0.0	4
15	9	0.25	0.05	1
15	9	0.25	0.1	3
15	9	0.25	0.2	2
15	9	0.3	0.25	2
15	9	0.3	0.3	1
15	9	0.3	0.4	1
15	9	0.3	0.45	1
15	9	0.3	0.5	2
15	9	0.3	0.6	1
15	9	0.35	0.0	2
15	9	0.35	0.05	1
15	9	0.35	0.15	1
15	9	0.35	0.2	1
15	9	0.35	0.25	1
15	9	0.35	0.3	1
15	9	0.35	0.35	1
15	9	0.35	0.45	1
15	9	0.35	0.5	1
15	9	0.35	0.55	1
15	9	0.35	0.6	1
15	9	0.35	0.85	1
15	9	0.4	0.0	2
15	9	0.4	0.3	2
15	9	0.45	0.0	1
15	9	0.45	0.5	2
15	9	0.45	0.65	1
15	9	0.45	0.75	1
15	9	0.5	0.15	2
15	9	0.5	0.4	1
15	9	0.5	0.45	1
15	9	0.5	0.5	1
15	9	0.5	0.65	1
15	9	0.5	0.7	1
15	9	0.5	0.75	1
15	9	0.5	0.9	1
15	9	0.55	0.1	1
15	9	0.55	0.3	2
15	9	0.55	0.75	1
15	9	0.6	0.25	1
15	9	0.6	0.35	1
15	9	0.6	0.4	1
15	9	0.6	0.7	1
15	9	0.6	0.75	1
15	9	0.65	0.65	1
15	9	0.65	0.85	1
15	9	0.7	0.15	1
15	9	0.7	0.3	1
15	9	0.7	0.35	1
15	9	0.7	0.4	1
15	9	0.7	0.6	1
15	9	0.7	0.8	1
15	9	0.7	0.9	1
15	9	0.75	0.7	1
15	9	0.75	0.8	1
15	9	0.75	0.9	1
15	9	0.75	1.0	2
15	9	0.8	0.15	1
15	9	0.8	0.2	1
15	9	0.8	0.4	1
15	9	0.8	0.7	1
15	9	0.85	0.25	1
15	9	0.9	0.75	1
15	9	0.9	0.85	1
15	9	0.9	0.95	1
15	9	0.9	1.0	1
15	9	0.95	0.55	1
15	9	0.95	1.0	1
15	9	1.0	0.55	1
15	9	1.0	0.65	1
15	9	1.0	0.7	1
15	9	1.0	0.75	1
15	9	1.0	0.85	1
15	9	1.0	0.9	1
15	9	1.0	0.95	1
16	0	0.0	0.05	185
16	0	0.0	0.1	59
16	0	0.0	0.15	27
16	0	0.0	0.2	20
16	0	0.0	0.25	11
16	0	0.0	0.3	11
16	0	0.0	0.35	3
16	0	0.0	0.4	2
16	0	0.0	0.45	2
16	0	0.0	0.5	2
16	0	0.0	0.55	1
16	0	0.0	0.65	1
16	0	0.05	0.0	123
16	0	0.05	0.05	9
16	0	0.05	0.1	3
16	0	0.05	0.15	1
16	0	0.05	0.2	1
16	0	0.05	0.35	4
16	0	0.05	0.4	1
16	0	0.05	0.45	2
16	0	0.05	0.5	1
16	0	0.05	0.55	2
16	0	0.1	0.0	46
16	0	0.1	0.05	6
16	0	0.1	0.1	2
16	0	0.1	0.15	1
16	0	0.1	0.2	4
16	0	0.1	0.25	2
16	0	0.1	0.3	2
16	0	0.1	0.45	1
16	0	0.1	0.55	1
16	0	0.1	0.9	1
16	0	0.15	0.0	17
16	0	0.15	0.05	2
16	0	0.15	0.15	4
16	0	0.15	0.2	2
16	0	0.15	0.25	3
16	0	0.15	0.3	1
16	0	0.15	0.4	1
16	0	0.15	0.6	1
16	0	0.15	0.85	1
16	0	0.15	0.9	1
16	0	0.2	0.0	10
16	0	0.2	0.05	3
16	0	0.2	0.1	3
16	0	0.2	0.15	2
16	0	0.2	0.25	1
16	0	0.2	0.3	1
16	0	0.2	0.4	1
16	0	0.25	0.0	8
16	0	0.25	0.05	2
16	0	0.25	0.1	3
16	0	0.25	0.2	1
16	0	0.25	0.25	1
16	0	0.25	0.55	1
16	0	0.25	0.6	1
16	0	0.25	0.75	1
16	0	0.3	0.25	1
16	0	0.3	0.3	1
16	0	0.3	0.45	2
16	0	0.35	0.0	1
16	0	0.35	0.15	1
16	0	0.35	0.3	2
16	0	0.4	0.0	1
16	0	0.4	0.3	1
16	0	0.4	0.4	1
16	0	0.4	0.8	1
16	0	0.45	0.35	1
16	0	0.45	0.4	1
16	0	0.5	0.0	3
16	0	0.5	0.15	1
16	0	0.55	0.2	1
16	0	0.55	0.3	1
16	0	0.6	0.55	1
16	0	0.8	0.45	1
16	1	0.0	0.05	7
16	1	0.0	0.1	3
16	1	0.0	0.15	3
16	1	0.0	0.25	1
16	1	0.0	0.5	1
16	1	0.05	0.0	59
16	1	0.05	0.05	3
16	1	0.05	0.1	5
16	1	0.05	0.15	3
16	1	0.05	0.2	1
16	1	0.05	0.25	2
16	1	0.05	0.35	1
16	1	0.05	0.5	2
16	1	0.05	0.55	1
16	1	0.1	0.0	26
16	1	0.1	0.05	4
16	1	0.1	0.15	1
16	1	0.1	0.2	2
16	1	0.1	0.35	1
16	1	0.1	0.4	1
16	1	0.1	0.45	1
16	1	0.1	0.5	2
16	1	0.1	0.6	1
16	1	0.1	0.65	1
16	1	0.15	0.0	23
16	1	0.15	0.05	1
16	1	0.15	0.15	1
16	1	0.15	0.2	1
16	1	0.15	0.25	1
16	1	0.15	0.35	1
16	1	0.15	0.45	2
16	1	0.15	0.5	1
16	1	0.15	0.85	1
16	1	0.2	0.0	12
16	1	0.2	0.05	1
16	1	0.2	0.1	1
16	1	0.2	0.15	1
16	1	0.2	0.2	4
16	1	0.2	0.3	2
16	1	0.2	0.35	1
16	1	0.2	0.4	1
16	1	0.2	0.45	2
16	1	0.2	0.55	1
16	1	0.2	0.75	1
16	1	0.25	0.0	16
16	1	0.25	0.05	2
16	1	0.25	0.1	2
16	1	0.25	0.15	3
16	1	0.25	0.2	1
16	1	0.25	0.25	2
16	1	0.25	0.3	3
16	1	0.25	0.4	1
16	1	0.25	0.55	1
16	1	0.25	0.6	1
16	1	0.25	0.9	1
16	1	0.3	0.0	2
16	1	0.3	0.05	1
16	1	0.3	0.1	1
16	1	0.3	0.15	1
16	1	0.3	0.25	2
16	1	0.3	0.3	1
16	1	0.3	0.35	1
16	1	0.3	0.4	1
16	1	0.3	0.5	1
16	1	0.3	0.55	1
16	1	0.3	0.6	1
16	1	0.35	0.0	1
16	1	0.35	0.45	1
16	1	0.35	0.85	1
16	1	0.35	0.9	1
16	1	0.4	0.0	1
16	1	0.4	0.1	1
16	1	0.4	0.3	1
16	1	0.4	0.4	1
16	1	0.4	0.6	1
16	1	0.4	0.85	1
16	1	0.45	0.0	5
16	1	0.45	0.1	1
16	1	0.45	0.2	1
16	1	0.45	0.25	1
16	1	0.45	0.3	2
16	1	0.45	0.6	2
16	1	0.45	0.7	1
16	1	0.5	0.0	1
16	1	0.5	0.2	1
16	1	0.5	0.5	1
16	1	0.5	0.65	1
16	1	0.55	0.05	1
16	1	0.55	0.65	2
16	1	0.55	0.75	1
16	1	0.6	0.5	1
16	1	0.6	0.75	1
16	1	0.65	0.6	1
16	1	0.65	0.85	1
16	1	0.7	0.75	1
16	1	0.75	0.5	1
16	1	0.8	0.35	1
16	1	0.85	0.7	1
16	1	0.85	1.0	1
16	10	0.0	0.05	6
16	10	0.0	0.1	5
16	10	0.0	0.2	4
16	10	0.0	0.25	1
16	10	0.0	0.35	1
16	10	0.0	0.4	1
16	10	0.0	0.45	1
16	10	0.0	0.6	3
16	10	0.0	0.65	1
16	10	0.05	0.0	24
16	10	0.05	0.05	3
16	10	0.05	0.2	2
16	10	0.05	0.25	3
16	10	0.05	0.3	2
16	10	0.05	0.4	1
16	10	0.05	0.6	1
16	10	0.05	0.7	1
16	10	0.05	0.8	1
16	10	0.1	0.0	21
16	10	0.1	0.05	1
16	10	0.1	0.1	1
16	10	0.1	0.4	3
16	10	0.1	0.5	1
16	10	0.1	0.55	3
16	10	0.1	0.65	2
16	10	0.1	0.75	1
16	10	0.15	0.0	15
16	10	0.15	0.1	1
16	10	0.15	0.15	3
16	10	0.15	0.2	1
16	10	0.15	0.25	1
16	10	0.15	0.3	1
16	10	0.15	0.35	1
16	10	0.15	0.45	2
16	10	0.15	0.55	1
16	10	0.15	0.65	1
16	10	0.2	0.0	8
16	10	0.2	0.1	4
16	10	0.2	0.2	2
16	10	0.2	0.25	1
16	10	0.2	0.3	1
16	10	0.2	0.4	1
16	10	0.2	0.5	1
16	10	0.2	0.55	1
16	10	0.2	0.6	1
16	10	0.25	0.0	4
16	10	0.25	0.1	1
16	10	0.25	0.15	2
16	10	0.25	0.2	2
16	10	0.25	0.25	3
16	10	0.25	0.3	1
16	10	0.25	0.4	2
16	10	0.25	0.45	2
16	10	0.25	0.5	2
16	10	0.25	0.55	1
16	10	0.25	0.65	1
16	10	0.25	0.7	1
16	10	0.25	0.9	1
16	10	0.3	0.0	2
16	10	0.3	0.1	3
16	10	0.3	0.15	1
16	10	0.3	0.25	1
16	10	0.3	0.3	1
16	10	0.3	0.4	1
16	10	0.3	0.45	1
16	10	0.3	0.65	1
16	10	0.3	0.7	1
16	10	0.3	0.75	1
16	10	0.35	0.0	3
16	10	0.35	0.1	1
16	10	0.35	0.25	1
16	10	0.35	0.3	2
16	10	0.35	0.4	2
16	10	0.35	0.5	1
16	10	0.35	0.6	2
16	10	0.35	0.7	1
16	10	0.35	0.8	1
16	10	0.4	0.0	2
16	10	0.4	0.1	1
16	10	0.4	0.15	2
16	10	0.4	0.2	1
16	10	0.4	0.4	1
16	10	0.4	0.6	1
16	10	0.4	0.65	1
16	10	0.4	0.7	1
16	10	0.45	0.1	1
16	10	0.45	0.25	1
16	10	0.45	0.35	1
16	10	0.45	0.4	3
16	10	0.45	0.65	1
16	10	0.45	0.95	1
16	10	0.5	0.0	1
16	10	0.5	0.55	1
16	10	0.5	0.65	1
16	10	0.5	0.85	4
16	10	0.55	0.15	1
16	10	0.55	0.25	1
16	10	0.55	0.5	1
16	10	0.55	0.55	1
16	10	0.55	0.75	1
16	10	0.55	0.9	1
16	10	0.6	0.25	1
16	10	0.6	0.4	1
16	10	0.6	0.8	1
16	10	0.65	0.1	2
16	10	0.65	0.25	1
16	10	0.65	0.55	1
16	10	0.65	0.7	1
16	10	0.65	0.85	1
16	10	0.65	0.95	1
16	10	0.7	0.05	1
16	10	0.7	0.35	2
16	10	0.7	0.4	1
16	10	0.7	0.5	1
16	10	0.7	0.65	1
16	10	0.75	0.0	1
16	10	0.75	0.05	1
16	10	0.75	0.25	1
16	10	0.75	0.5	1
16	10	0.75	0.7	1
16	10	0.75	0.75	2
16	10	0.8	0.05	1
16	10	0.8	0.4	1
16	10	0.8	0.45	1
16	10	0.8	0.7	1
16	10	0.8	0.85	1
16	10	0.8	1.0	1
16	10	0.85	0.15	1
16	10	0.85	0.8	1
16	10	0.85	0.9	1
16	10	0.85	1.0	2
16	10	0.9	0.25	2
16	10	0.9	0.65	1
16	10	0.9	0.7	1
16	10	0.9	0.75	1
16	10	0.9	1.0	1
16	10	0.95	0.75	1
16	10	0.95	0.8	1
16	10	0.95	1.0	2
16	10	1.0	0.45	1
16	10	1.0	0.65	1
16	11	0.0	0.05	7
16	11	0.0	0.1	2
16	11	0.0	0.15	1
16	11	0.0	0.2	6
16	11	0.0	0.25	1
16	11	0.0	0.3	1
16	11	0.0	0.35	1
16	11	0.0	0.45	1
16	11	0.0	0.55	1
16	11	0.0	0.6	1
16	11	0.05	0.0	37
16	11	0.05	0.1	1
16	11	0.05	0.15	4
16	11	0.05	0.2	4
16	11	0.05	0.25	3
16	11	0.05	0.3	1
16	11	0.05	0.35	1
16	11	0.05	0.4	2
16	11	0.05	0.55	1
16	11	0.05	0.8	1
16	11	0.1	0.0	18
16	11	0.1	0.05	2
16	11	0.1	0.1	2
16	11	0.1	0.15	4
16	11	0.1	0.2	1
16	11	0.1	0.25	2
16	11	0.1	0.3	2
16	11	0.1	0.35	2
16	11	0.1	0.4	1
16	11	0.1	0.45	1
16	11	0.1	0.5	1
16	11	0.1	0.85	1
16	11	0.15	0.0	14
16	11	0.15	0.1	1
16	11	0.15	0.15	2
16	11	0.15	0.2	2
16	11	0.15	0.3	1
16	11	0.15	0.4	1
16	11	0.15	0.45	1
16	11	0.15	0.5	1
16	11	0.15	0.6	1
16	11	0.15	0.65	1
16	11	0.2	0.0	7
16	11	0.2	0.05	1
16	11	0.2	0.1	3
16	11	0.2	0.15	3
16	11	0.2	0.2	2
16	11	0.2	0.25	1
16	11	0.2	0.3	2
16	11	0.2	0.4	1
16	11	0.2	0.5	2
16	11	0.2	0.55	2
16	11	0.25	0.0	1
16	11	0.25	0.05	1
16	11	0.25	0.1	1
16	11	0.25	0.15	1
16	11	0.25	0.2	2
16	11	0.25	0.3	2
16	11	0.25	0.4	1
16	11	0.25	0.45	1
16	11	0.25	0.55	3
16	11	0.25	0.85	1
16	11	0.3	0.0	5
16	11	0.3	0.05	2
16	11	0.3	0.1	1
16	11	0.3	0.2	3
16	11	0.3	0.25	3
16	11	0.3	0.35	2
16	11	0.3	0.4	2
16	11	0.3	0.45	1
16	11	0.3	0.5	1
16	11	0.3	0.55	2
16	11	0.3	0.8	1
16	11	0.3	0.85	1
16	11	0.3	0.95	1
16	11	0.35	0.0	2
16	11	0.35	0.15	2
16	11	0.35	0.2	4
16	11	0.35	0.3	2
16	11	0.35	0.4	1
16	11	0.35	0.45	2
16	11	0.35	0.55	3
16	11	0.35	0.65	2
16	11	0.35	0.9	1
16	11	0.4	0.0	1
16	11	0.4	0.05	1
16	11	0.4	0.1	1
16	11	0.4	0.3	2
16	11	0.4	0.4	1
16	11	0.4	0.45	1
16	11	0.4	0.5	1
16	11	0.4	0.7	1
16	11	0.4	0.8	2
16	11	0.45	0.0	1
16	11	0.45	0.05	2
16	11	0.45	0.1	2
16	11	0.45	0.15	1
16	11	0.45	0.2	5
16	11	0.45	0.35	2
16	11	0.45	0.6	1
16	11	0.45	0.65	3
16	11	0.45	0.75	1
16	11	0.45	0.85	4
16	11	0.45	0.9	1
16	11	0.45	0.95	2
16	11	0.5	0.15	1
16	11	0.5	0.2	1
16	11	0.5	0.3	2
16	11	0.5	0.35	3
16	11	0.5	0.7	2
16	11	0.5	0.75	1
16	11	0.5	0.85	1
16	11	0.55	0.1	2
16	11	0.55	0.15	1
16	11	0.55	0.25	1
16	11	0.55	0.6	1
16	11	0.55	0.75	1
16	11	0.55	0.8	2
16	11	0.6	0.35	3
16	11	0.6	0.6	1
16	11	0.6	0.9	1
16	11	0.6	0.95	1
16	11	0.65	0.5	1
16	11	0.65	0.75	1
16	11	0.65	0.95	2
16	11	0.7	0.35	1
16	11	0.7	0.4	1
16	11	0.7	0.7	1
16	11	0.7	0.75	1
16	11	0.7	0.85	1
16	11	0.7	0.95	1
16	11	0.75	0.05	1
16	11	0.75	0.35	1
16	11	0.75	0.7	1
16	11	0.75	0.75	2
16	11	0.75	1.0	1
16	11	0.8	0.35	2
16	11	0.8	0.6	1
16	11	0.85	0.8	1
16	11	0.85	0.95	2
16	11	0.9	0.2	1
16	11	0.9	0.8	1
16	11	0.9	0.85	1
16	11	0.9	0.9	1
16	11	0.9	1.0	2
16	11	0.95	0.6	1
16	11	0.95	0.75	1
16	11	0.95	0.8	1
16	11	1.0	0.2	1
16	11	1.0	0.8	1
16	11	1.0	0.85	3
16	11	1.0	0.95	1
16	12	0.0	0.05	3
16	12	0.0	0.1	2
16	12	0.0	0.15	1
16	12	0.0	0.2	3
16	12	0.0	0.25	4
16	12	0.0	0.3	4
16	12	0.0	0.35	2
16	12	0.0	0.4	2
16	12	0.0	0.45	1
16	12	0.0	0.6	1
16	12	0.0	0.7	1
16	12	0.05	0.0	38
16	12	0.05	0.05	5
16	12	0.05	0.15	1
16	12	0.05	0.25	1
16	12	0.05	0.3	1
16	12	0.05	0.45	2
16	12	0.05	0.65	1
16	12	0.1	0.0	21
16	12	0.1	0.1	6
16	12	0.1	0.15	3
16	12	0.1	0.2	1
16	12	0.1	0.25	2
16	12	0.1	0.35	3
16	12	0.1	0.4	1
16	12	0.1	0.45	1
16	12	0.1	0.6	1
16	12	0.15	0.0	16
16	12	0.15	0.05	6
16	12	0.15	0.1	3
16	12	0.15	0.15	1
16	12	0.15	0.2	2
16	12	0.15	0.25	1
16	12	0.15	0.3	1
16	12	0.15	0.35	3
16	12	0.15	0.45	1
16	12	0.15	0.5	1
16	12	0.15	0.55	1
16	12	0.2	0.0	7
16	12	0.2	0.05	4
16	12	0.2	0.1	2
16	12	0.2	0.15	4
16	12	0.2	0.2	3
16	12	0.2	0.25	2
16	12	0.2	0.3	1
16	12	0.2	0.35	2
16	12	0.2	0.45	2
16	12	0.2	0.5	3
16	12	0.2	0.55	2
16	12	0.2	0.6	1
16	12	0.2	0.65	2
16	12	0.2	0.7	1
16	12	0.2	0.8	1
16	12	0.2	0.85	1
16	12	0.2	0.95	1
16	12	0.25	0.0	4
16	12	0.25	0.1	1
16	12	0.25	0.15	1
16	12	0.25	0.2	2
16	12	0.25	0.25	3
16	12	0.25	0.3	1
16	12	0.25	0.35	3
16	12	0.25	0.45	1
16	12	0.25	0.55	4
16	12	0.3	0.0	7
16	12	0.3	0.1	1
16	12	0.3	0.2	1
16	12	0.3	0.25	3
16	12	0.3	0.35	1
16	12	0.3	0.45	2
16	12	0.3	0.5	1
16	12	0.3	0.55	2
